_id,Schedule,CollectionDate,Organics,Garbage,Recycling,YardWaste
54,Tuesday2,2024-01-02,T,0,T,0
55,Tuesday2,2024-01-09,T,T,0,0
56,Tuesday2,2024-01-16,T,0,T,0
57,Tuesday2,2024-01-23,T,T,0,0
58,Tuesday2,2024-01-30,T,0,T,0
59,Tuesday2,2024-02-06,T,T,0,0
60,Tuesday2,2024-02-13,T,0,T,0
61,Tuesday2,2024-02-20,T,T,0,0
62,Tuesday2,2024-02-27,T,0,T,0
63,Tuesday2,2024-03-05,T,T,0,0
64,Tuesday2,2024-03-12,T,0,T,0
65,Tuesday2,2024-03-19,T,T,0,T
66,Tuesday2,2024-03-26,T,0,T,0
67,Tuesday2,2024-04-02,T,T,0,T
68,Tuesday2,2024-04-09,T,0,T,0
69,Tuesday2,2024-04-16,T,T,0,T
70,Tuesday2,2024-04-23,T,0,T,0
71,Tuesday2,2024-04-30,T,T,0,T
72,Tuesday2,2024-05-07,T,0,T,0
73,Tuesday2,2024-05-14,T,T,0,T
74,Tuesday2,2024-05-21,T,0,T,0
75,Tuesday2,2024-05-28,T,T,0,T
76,Tuesday2,2024-06-04,T,0,T,0
77,Tuesday2,2024-06-11,T,T,0,T
78,Tuesday2,2024-06-18,T,0,T,0
79,Tuesday2,2024-06-25,T,T,0,T
80,Tuesday2,2024-07-02,T,0,T,0
81,Tuesday2,2024-07-09,T,T,0,T
82,Tuesday2,2024-07-16,T,0,T,0
83,Tuesday2,2024-07-23,T,T,0,T
84,Tuesday2,2024-07-30,T,0,T,0
85,Tuesday2,2024-08-06,T,T,0,T
86,Tuesday2,2024-08-13,T,0,T,0
87,Tuesday2,2024-08-20,T,T,0,T
88,Tuesday2,2024-08-27,T,0,T,0
89,Tuesday2,2024-09-03,T,T,0,T
90,Tuesday2,2024-09-10,T,0,T,0
91,Tuesday2,2024-09-17,T,T,0,T
92,Tuesday2,2024-09-24,T,0,T,0
93,Tuesday2,2024-10-01,T,T,0,T
94,Tuesday2,2024-10-08,T,0,T,0
95,Tuesday2,2024-10-15,T,T,0,T
96,Tuesday2,2024-10-22,T,0,T,0
97,Tuesday2,2024-10-29,T,T,0,T
98,Tuesday2,2024-11-05,T,0,T,0
99,Tuesday2,2024-11-12,T,T,0,T
100,Tuesday2,2024-11-19,T,0,T,0
101,Tuesday2,2024-11-26,T,T,0,T
102,Tuesday2,2024-12-03,T,0,T,0
103,Tuesday2,2024-12-10,T,T,0,T
104,Tuesday2,2024-12-17,T,0,T,0
105,Tuesday2,2024-12-24,T,T,0,0
106,Tuesday2,2024-12-31,T,0,T,0
